metric,lo,hi
intt_adc_peak,,
intt_adc_median_p50,,
intt_adc_p90,,
intt_phi_uniform_r1,,
intt_phi_chi2_reduced,,5.0
intt_bco_peak,,
cluster_size_intt_mean,,
cluster_phi_intt_rms,,
intt_hits_asym,,1.0
intt_adc_landau_mpv,,
intt_bco_mod_r1,,
intt_sensor_occupancy_median,,
mvtx_deadchip_frac_l0,,0.10
mvtx_hotchip_frac_l0,,0.05
mvtx_deadchip_frac_l1,,0.10
mvtx_hotchip_frac_l1,,0.05
mvtx_deadchip_frac_l2,,0.10
mvtx_hotchip_frac_l2,,0.05
tpc_laser_time_mean_north,,
tpc_laser_time_mean_south,,
tpc_laser_time_delta_NS,,
tpc_phisize_ring_slope_avg,,
tpc_zsize_ring_slope_avg,,
tpc_resolution_rphi_mean,,
tpc_resolution_z_mean,,
tpc_sector_adc_uniform_chi2,,5.0
