chip,ladder,count
0,0,958160
0,1,1.34410e+06
0,2,1.02188e+06
0,3,993573
0,4,941990
0,5,1.42492e+06
0,6,965085
0,7,984035
0,8,1.48403e+06
0,9,1.41117e+06
0,10,1.02555e+06
0,11,976378
0,12,1.35548e+06
0,13,1.05165e+06
1,0,1.06039e+06
1,1,1.47668e+06
1,2,1.26275e+06
1,3,1.097e+06
1,4,991505
1,5,1.53143e+06
1,6,1.09916e+06
1,7,1.08764e+06
1,8,1.67193e+06
1,9,1.64212e+06
1,10,1.15393e+06
1,11,1.0424e+06
1,12,1.50624e+06
1,13,1.14742e+06
2,0,1.52714e+06
2,1,1.90255e+06
2,2,1.48358e+06
2,3,1.05833e+06
2,4,885239
2,5,1.03597e+06
2,6,1.08994e+06
2,7,1.56013e+06
2,8,1.44801e+06
2,9,1.47698e+06
2,10,1.02593e+06
2,11,1.06543e+06
2,12,1.00093e+06
2,13,1.03678e+06
3,0,1.3743e+06
3,1,1.43007e+06
3,2,1.34692e+06
3,3,981731
3,4,1.01245e+06
3,5,962555
3,6,1.01162e+06
3,7,1.40662e+06
3,8,1.32306e+06
3,9,1.39790e+06
3,10,934798
3,11,1.02277e+06
3,12,954273
3,13,744322
4,0,985596
4,1,1.4757e+06
4,2,1.3012e+06
4,3,1.04259e+06
4,4,1.37983e+06
4,5,1.01543e+06
4,6,543770
4,7,1.53323e+06
4,8,1.34129e+06
4,9,1.46581e+06
4,10,1.07573e+06
4,11,982005
4,12,1.07557e+06
4,13,995916
5,0,1.57882e+06
5,1,1.55109e+06
5,2,1.43571e+06
5,3,1.04452e+06
5,4,1.13344e+06
5,5,1.04693e+06
5,6,1.03828e+06
5,7,1.11095e+06
5,8,509300
5,9,1.16426e+06
5,10,1.07063e+06
5,11,1.71638e+06
5,12,1.56578e+06
5,13,1.69194e+06
6,0,1.59413e+06
6,1,1.60194e+06
6,2,1.55335e+06
6,3,1.05060e+06
6,4,1.14964e+06
6,5,1.06238e+06
6,6,1.11e+06
6,7,1.52831e+06
6,8,1.49198e+06
6,9,1.52443e+06
6,10,990556
6,11,1.08157e+06
6,12,998336
6,13,1.01871e+06
7,0,946066
7,1,1.40561e+06
7,2,1.36378e+06
7,3,983623
7,4,1.01379e+06
7,5,976833
7,6,1.02584e+06
7,7,1.46774e+06
7,8,1.37758e+06
7,9,1.42709e+06
7,10,957753
7,11,1.01896e+06
7,12,978497
7,13,994240
